epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,428.978,0.71187,0.48553,1.84723,0.92124,1,0.99,0.78811,0.77312,0.5232,2.37745,0.00176438,0.00176438,0.00176438
121,431.946,0.7521,0.51294,1.7882,1,0.98102,0.995,0.86315,0.72613,0.53991,2.33428,0.0017624,0.0017624,0.0017624
122,434.936,0.74538,0.5075,1.80198,0.97907,0.92308,0.98567,0.82976,0.86376,0.66724,2.51876,0.00176042,0.00176042,0.00176042
123,437.979,0.72243,0.47452,1.8221,1,0.96429,0.995,0.74668,0.95881,0.63235,2.49984,0.00175844,0.00175844,0.00175844
124,441.083,0.75321,0.50132,1.72119,0.97241,1,0.995,0.82517,0.86184,0.60234,2.41003,0.00175646,0.00175646,0.00175646
125,444.139,0.66541,0.46493,1.66283,0.92733,0.98266,0.97857,0.79303,0.8099,0.62511,2.49614,0.00175448,0.00175448,0.00175448
126,447.169,0.71546,0.48893,1.68167,0.92397,1,0.99,0.86566,0.72809,0.59373,2.50742,0.0017525,0.0017525,0.0017525
127,450.256,0.69483,0.47438,1.68531,0.9227,1,0.98429,0.82082,0.83843,0.57018,2.82975,0.00175052,0.00175052,0.00175052
128,453.247,0.72036,0.48275,1.82076,0.92655,1,0.995,0.81329,0.89145,0.5745,3.07085,0.00174854,0.00174854,0.00174854
129,456.291,0.73524,0.50807,1.80459,0.90987,1,0.99,0.79584,0.83326,0.64266,2.59853,0.00174656,0.00174656,0.00174656
130,459.314,0.74108,0.51268,1.75866,0.91765,1,0.97857,0.76398,0.87369,0.6294,2.16474,0.00174458,0.00174458,0.00174458
131,462.469,0.72193,0.49465,1.72358,0.92403,1,0.98429,0.78143,0.82621,0.59297,2.3509,0.0017426,0.0017426,0.0017426
132,465.571,0.71064,0.48801,1.77314,0.92443,1,0.99,0.78955,0.83526,0.62441,3.01438,0.00174062,0.00174062,0.00174062
133,468.702,0.71508,0.46787,1.70995,0.92353,1,0.99,0.76969,0.8978,0.55384,3.32944,0.00173864,0.00173864,0.00173864
134,471.82,0.73897,0.46385,1.74959,0.92231,1,0.99,0.72823,0.98231,0.55345,3.34136,0.00173666,0.00173666,0.00173666
135,475.045,0.67708,0.4645,1.63728,0.92836,0.99711,0.99,0.77344,0.87499,0.57985,3.05363,0.00173468,0.00173468,0.00173468
136,478.147,0.7166,0.47656,1.81204,0.96814,0.92308,0.98188,0.77763,0.87072,0.61723,3.14578,0.0017327,0.0017327,0.0017327
137,481.321,0.70392,0.48983,1.69733,0.98442,0.92308,0.98188,0.8007,0.85178,0.57628,3.67543,0.00173072,0.00173072,0.00173072
138,484.462,0.68793,0.48517,1.72091,0.98106,0.92308,0.98188,0.82151,0.78189,0.55094,3.6144,0.00172874,0.00172874,0.00172874
139,487.626,0.72779,0.49183,1.85608,0.9599,0.92308,0.98188,0.83267,0.78629,0.52481,3.21725,0.00172676,0.00172676,0.00172676
140,490.789,0.70536,0.47326,1.67983,0.86553,0.99085,0.97336,0.79231,0.80736,0.55681,2.62399,0.00172478,0.00172478,0.00172478
141,493.898,0.67869,0.47754,1.71089,0.80941,1,0.96378,0.78964,0.82573,0.55732,2.58094,0.0017228,0.0017228,0.0017228
142,496.972,0.72626,0.48325,1.72579,0.91345,1,0.98429,0.81879,0.80307,0.49665,2.28131,0.00172082,0.00172082,0.00172082
143,500.122,0.65861,0.47446,1.66222,0.91949,1,0.99,0.78259,0.82373,0.50239,2.19128,0.00171884,0.00171884,0.00171884
144,503.488,0.68928,0.48432,1.87779,0.92066,1,0.98429,0.79365,0.82099,0.51492,2.57881,0.00171686,0.00171686,0.00171686
145,506.707,0.69231,0.48456,1.64247,0.96859,1,0.995,0.78255,0.85225,0.54156,3.21243,0.00171488,0.00171488,0.00171488
146,509.812,0.67752,0.47119,1.75289,0.92044,1,0.99,0.77208,0.93206,0.50249,3.21377,0.0017129,0.0017129,0.0017129
147,512.957,0.73546,0.47612,1.73352,0.92827,0.99577,0.99,0.78125,0.92706,0.51283,2.67534,0.00171092,0.00171092,0.00171092
148,516.369,0.6847,0.48825,1.65481,0.91649,0.92308,0.97572,0.809,0.83044,0.55437,2.14592,0.00170894,0.00170894,0.00170894
149,519.533,0.68825,0.48338,1.86151,0.85282,0.92308,0.9671,0.8188,0.79027,0.57811,2.00228,0.00170696,0.00170696,0.00170696
150,522.656,0.68358,0.46947,1.70223,0.91124,0.92308,0.96021,0.8241,0.7271,0.61046,2.23809,0.00170498,0.00170498,0.00170498
151,525.718,0.64611,0.45194,1.77085,0.91797,0.92308,0.95676,0.82106,0.76428,0.60223,2.48403,0.001703,0.001703,0.001703
152,528.862,0.72785,0.51206,1.74615,0.8651,0.98737,0.97336,0.82174,0.73279,0.59568,2.12238,0.00170102,0.00170102,0.00170102
153,532.068,0.71072,0.48441,1.71101,0.86401,1,0.96833,0.83044,0.7256,0.56671,1.99294,0.00169904,0.00169904,0.00169904
154,535.762,0.65671,0.46454,1.63691,0.92836,0.99702,0.99,0.82358,0.77787,0.57187,2.31377,0.00169706,0.00169706,0.00169706
155,538.887,0.64623,0.46098,1.59638,0.92822,0.99506,0.98429,0.77388,0.87477,0.60984,2.62709,0.00169508,0.00169508,0.00169508
156,542.108,0.66232,0.47082,1.67074,0.92809,0.9933,0.97857,0.74232,0.95071,0.63473,2.45115,0.0016931,0.0016931,0.0016931
157,545.266,0.65524,0.44424,1.70663,0.90531,0.92308,0.96418,0.79121,0.81268,0.58961,2.22085,0.00169112,0.00169112,0.00169112
158,548.473,0.68371,0.46125,1.7879,0.91192,0.92308,0.96622,0.78249,0.77452,0.60616,2.01852,0.00168914,0.00168914,0.00168914
159,551.755,0.63562,0.43822,1.59988,0.91111,0.92308,0.94522,0.78573,0.7263,0.6741,1.97998,0.00168716,0.00168716,0.00168716
160,554.972,0.70412,0.47044,1.73426,0.90829,0.92308,0.95819,0.78919,0.79034,0.64531,1.92385,0.00168518,0.00168518,0.00168518
161,562.29,0.71614,0.50589,1.7994,0.86481,0.98499,0.97336,0.79998,0.7363,0.60949,1.8126,0.0016832,0.0016832,0.0016832
162,567.374,0.69582,0.48834,1.74841,0.91701,0.92308,0.95171,0.79084,0.72299,0.62438,1.78396,0.00168122,0.00168122,0.00168122
163,573.351,0.65775,0.46008,1.63784,0.86511,0.98747,0.96182,0.82745,0.66895,0.65394,1.77362,0.00167924,0.00167924,0.00167924
164,576.893,0.67313,0.46503,1.62756,0.91861,0.92308,0.96797,0.83165,0.67411,0.62598,2.40441,0.00167726,0.00167726,0.00167726
165,580.222,0.67597,0.44491,1.65733,0.91864,0.92308,0.94407,0.82671,0.72125,0.66268,2.7868,0.00167528,0.00167528,0.00167528
166,583.546,0.69646,0.47139,1.72984,0.92012,0.92308,0.93337,0.79577,0.78372,0.7243,2.58368,0.0016733,0.0016733,0.0016733
