                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3817,                 1.0477,                 1.9021,                  0.965,                0.84615,                0.94495,                0.56438,                 1.5518,                 1.0805,                  2.036,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.3144,                 1.0305,                 1.9351,                      1,                 0.8444,                0.97045,                0.52377,                  1.492,                 1.2341,                 1.9918,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.3589,                 1.0586,                  1.922,                0.94327,                0.76923,                0.87989,                0.58221,                 1.3461,                 1.2325,                 1.9144,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.2826,                0.94856,                 1.8485,                0.29712,                0.39051,                0.34522,                0.14464,                 2.2613,                 2.6935,                 2.6875,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.3159,                0.98546,                 1.9034,                0.31253,                0.15385,                0.12322,                0.08075,                 2.3074,                  3.661,                 2.9162,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.3823,                 1.0228,                 1.9356,                0.84817,                0.92308,                0.90849,                0.55025,                 1.5272,                 1.2162,                 2.0473,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.3223,                 0.9843,                 1.8803,                0.71412,                0.76865,                0.79445,                0.41892,                 1.6727,                 1.8502,                 2.1169,              0.0018495,              0.0018495,              0.0018495
                     78,                 1.3059,                 1.0044,                 1.8846,                0.64714,                0.84648,                0.84878,                0.53675,                 1.4311,                 1.7531,                 1.9402,              0.0018475,              0.0018475,              0.0018475
                     79,                 1.3191,                  1.005,                 1.8762,                      1,                 0.8335,                0.92849,                0.55809,                 1.4252,                 2.2448,                 1.9014,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.2576,                0.98219,                  1.866,                0.99786,                0.92308,                 0.9614,                0.64717,                 1.3778,                0.95183,                 1.8861,              0.0018436,              0.0018436,              0.0018436
